"id","document_name","description"
"11","10095140.pdf","Beachfront Beauty! Positioned perfectly on a large. 38 acre level lot with 70 feet of sandy shoreline. Secure gated entry opens to 3 car garage and ample room to park additional vehicles outdoors. Over 4600 square feet of luxury lakeside living 5 bedrooms and 5 baths. The open concept main living areas offer many access points to the large outdoor lounging/living areas. Custom designed dream kitchen by Berard Design, ivory cabinetry and granite counters surround top of the line appliances. Adjacent to the kitchen and great room is a spacious dining area that opens to outdoor dining and lake beyond. Main floor master bedroom with French doors to private lakeside patio and spa like ensuite. Upper level boasts large bonus room and guest bedrooms. No expense spared on finishing and no detail overlooked. Wharf features boat and jet ski lifts. Make this beautiful beach house your private oasis, relax and enjoy the fresh waters of Okanagan Lake.  "
"12","10099383.pdf","EXTRAORDINARY!! Gold medal Tommie Award winning post & beam dream home set on 2.84 acres with spectacular views of Okanagan Lake! Approx 300 feet lake frontage, dock, award winning negative edge salt water pool is beyond compare. Over 4300 sq. ft. of open living space, triple car garage with lots of parking for your toys. NEW tram to lakeside. For more information please visit www.janehoffman.com or call (250) 860-7500. or www.3130ShaylerCrt.com  "
"13","10099708.pdf","Exclusive waterfront gated community "" South Bay Landing"" in desired Lower Mission. Complex boasts a saltwater pool, hot tub, and club house complete with gym & games room. 87.6 ft of water frontage. Luxurious 3700 sq ft residence with 3 bedrooms plus office, 3bathrooms. Open concept design taking full advantage of this spectacular lakefront setting. Floor to ceiling windows capture the stunning views of the lake. Gourmet granite island kitchen, an abundance of maple cabinetry and walnut hardwood flooring. This architecturally designed home exudes quality millwork, crown mouldings, wide baseboards. Outdoor fireplace and 2 fabulous lakeside patios, one with hot tub, engage with endless views of the lake, mountains and beyond! Full time boat moorage plus lift. Triple garage.  "
"14","13070000.pdf","This spectacular north shore architectural gem, sits on a bluff facing the awesome expanse of the Atlantic Ocean. Nestled in the natural landscape of 11 acres, this 13,500 sq ft home was designed by a nationally renowned American architect who also oversaw every detail of construction. No expense was spared in the construction of this home from the foundation of reinforced poured concrete to roof of Western red cedar; every effort was made to build a house meant to last generations. The exterior of the house features Cape Cod siding & imported Pennsylvania field stone from Valley Forge Mountain. The stone walls as well as all of the patios are capped in Pennsylvania flag stone, giving the house a natural feel that blends into the surrounding landscape. Windows are all Pella Architectural series windows. These solid wood windows feature aluminum cladding on the exterior as well as Vivid View screens. Wow! Exciting YouTube HD Video attached. Click on Multimedia link to view.  "
"15","1409195.pdf","The Eyrie is an Architectural Masterpiece. Elegant, Inspired & Peaceful. A shining example of what can be achieved when the most treasured natural materials found on the globe are placed in the hands of the most gifted artisans. Nestled on the shores of Kempenfelt Bay in a small enclave of luxury estate homes, along a desired & prestigious drive, this residence exudes a calming sense, even with a stately classical appearance, balanced perfectly with the majestic waterfront setting. Careful consideration was given to creating design taking full advantage of the setting & views. Design & Construction took 3 yrs to complete meticulous in the craftsmanship, no detail overlooked. The home is state of the art mechanically & electronically. 9,440 sq ft of interior living space 6 bedrms, 4 with ensuites, & 6-1/2 baths, Numerous walkouts to heated terraces, Extra high ceilings, Rare Acacia hardwood herringbone floors, All bathrm floors Carrera marble, Extensive paneling, moulding & trim through out,Luxury Master suite with exquisite ensuite & dressing rm, Dramatic walnut staircase, elevator, study, gracious formal dining rm, Jet bath, steam shower, sauna, gym, smart home integration system. Sophisticated heating & cooling systems, lighting & feature controls, fully equipped gourmet kitchen are a few of the modern touches of this home. The lighting is overwhelming, designed to be controlled to create various moods & tones to enhance any art collection. Minutes to the resort city of Barrie where you can enjoying a variety of activities including fine dining, boutique shopping, surrounded by premier golf courses & downhill skiing facilities. Toronto approx.60 mins away, Pearson International Airport 40 mins away. A nearby state of the art regional airport accommodates recreational & larger commercial & corporate jets. This home must be experienced in person to be truly appreciated.  "
"16","348906.pdf","Architectural residence on private 2 ac WATERFRONT property, renovated to the highest standards & featuring open floor plan with tasteful integration of glass & wood throughout. Top-of-the-line appliances, granite countertops. Entire home boasts high ceilings, wood & slate flooring, large windows. Private master suite has plenty of builtin storage & deluxe ensuite. Outdoor swimming pool, surrounded by an extensive network of decks & patios, separate cottage. Path leads down to beachside deck with western exposure on the calm waters of Saanich Inlet. With its timeless elegance & fabulous West Coast appeal, this is one of the finest homes currently being offered on Vancouver Island. marc@owen-flood.com or sylvia@sylviatherrien.ca for info  "
"17","349119.pdf","The ultimate oceanfront luxury home with 8.39 acres lot is located in Central Saanich. 9308 sq.ft. of living space. Unbelievable views of ocean & Mt. Baker from every room. Impressive craftsmanship & custom detailing from both inside & outside. Gourmet kitchen with Miele gas/electric cooktops, built-in oven, steam oven, Sub-Zero fridge & freezer, pizza oven & drawers. Connected to the kitchen is a huge family room & large eating area. Main floor features granite foyer, living room with wet bar ( 2 wine fridges, ice maker & dishwasher drawers ), games room, steam shower, study office & 1 bdm. 4 spacious bedrooms upstairs. The ensuited master features office area, 3 walk-in-closets, jacuzzi/shower & gas fireplace.  "
"18","351454.pdf","PRICE REDUCTION. 13.4 Acres hugs the contour of the Saanich Inlet coastline harmoniously blending with the natural landscape. Live at the current Oceanside cottage while you construct your 5,000-25,000sqft trophy home. Two stunning levels encased with windows radiate light into the South Western exposure of this 4012 sqft home. 4 bedrooms, this contemporary design features polished hardwood, a designed kitchen & every opportunity to capture the Ocean Vistas, and Malahat mountains has been monopolized. The acreage is prime for creating outdoor recreational facilities to suit your interests. A rare and truly spectacular Peninsula gem with foreshore lease and endless potential on this exquisite Oceanside acreage.  "
"19","351903.pdf","Waterfront: A prime west exposure 3.34 acre (1.35 ha) property in the prestigious Ardmore area of North Saanich on the Saanich Peninsula. The last remaining large oceanfront property in the area, having potential for possible division. This secluded property with frontage on two roads is beautifully treed & level. The property offers outstanding sunsets & panoramic marine views over Saanich Inlet & of distant hills. Low bank easy access beach (summer swimming) w/440(134m) +/- frontageMoor your boat at your front door! The comfortable 1950s one level 2486 sq (231 sq m) residence has been updated over the years. Plus a 535 sq (50 sq m) cottage, however the value of this exceptional property is clearly in the location & in the land!  "
"20","353393.pdf","Spectacular panoramic views from all parts of main and upper floors. Extremely private 1.53 acre oceanfront. Rock promontory. Custom built site specific executive estate. Separate garage. Workshop. Beach access to Chesterman Beach. 3 bedrooms, 4 baths, office, media room. Heat pump and dehumidifier. The Best!  "
"21","392606.pdf","Welcome to Bellaria, Exquisite Custom Home on acreage designed with absolute Luxury in mind and professionally crafted with unsurpassed attention to detail. Entering into the spacious foyer with Handcrafted fir doors opening to the courtyard you will be transported to an elegant lifestyle reminiscent of a Chateau in Provence. Every aspect of this home is unique and timeless from the granite counters, and exotic woods from around the world, to the premier movie theatre room, master bedroom with sublime ensuite and all the guest rooms complete with their own ensuites, this home is Heritage quality. Truly a Serene and Gracious retreat for the most discerning buyer. Luxury wine cellar, billiard room,surround sound throughout the home and control system, guest house, triple car garage, massive patio with out door kitchen built in hotub and entertainment area. double lot full oceanview property, 300ft private gated drive & area for helicopter to land. Call for more details.  "
"22","521930797.pdf","Kinara a magnificent cottage oasis boasting all of the modern conveniences. Massive granite fireplace with a wrap-around stone wall in the main living area and a wall of windows taking full advantage of the view. Multiple common areas are found throughout this stunning showpiece inviting all forms of gatherings dinner conversations in the dining area adjoining the kitchen, Muskoka room with another stone fireplace, lower level media room with yet a third stone fireplace and private den/study room for quiet enjoyment. Boathouse with private guest suite and large deck is set above 2 boat slips and a boat port.  "
"23","C3120190.pdf","Location, Location, Location! In The Heart Of Yorkville, Private Elevator Access To All Floors. Over 4000 Sq Ft Of Luxurious Finishes Including Roof Top Terrace With Outdoor Fireplace And Hot Tub. Private 2 Car Underground Garage. Ideal For Professional Athlete, Celebrity Or Professional. **** EXTRAS **** Sub Zero Fridge/Freezer And Wine Fridge. Wolf Stove, Oven And Microwave. Miele Dishwasher. Freehold Townhouse. Private Parking Garage. Private Patio. Boutiques And First Class Shopping Surround You.  "
"24","C3140671.pdf","Finest Residence W Much Luxury Appts*Approx 7250 Sqft + Lower Level*Grand Entr W Intricate Marble Flr Patterns*Ext Millwrks Library W Herringbone Wood Flr *Grtrm W Coffered Wood Ceiling*Marble F/P Flr 2 Ceiling*Chef Dream Kitchen W Custom Cabinetry W Leaded Glass*Large Brkfast Area*Mb Feat.Dbl Sided F/P,Sitting Area,7Pc Ensuite,Custom B/I Cabintry His/Her W/I Closet*Home Theatre*Sauna*Elevator*Circ Drwy*4 Cars Garage*Stone Frnt W Cedar Shingles* **** EXTRAS **** 3Gb+E, Cac, Hrv, Cvac, Security Sys W/Cams, Edg+Rem, B/I Speak, Elfs, Win Cov, Cust B/I, Hdwd, Heated L/Lev. S/S Appl Incl: Viking B/I Oven, 6 Burn Cktp W/Dbl Oven, B/I Micro, F+F,Dw, Whirlpool W+D*Stone Bksplash*Large Grnite Island*  "
"25","C3153538.pdf","A Breathtaking Experience! This Magnificent Grand Penthouse Comprises The Entire Top Floor Of The 5 Star Forest Hill Landmark Building. Sweeping Panoramic 360 Degree Vista Views Across The Tree-Tops & Down To The Lake. Commanding North & South Terraces & Loggia/Interior Designed By Internationally Acclaimed """"Dee Dee Taylor Eustace"""" Approx 3,300 Sq.Ft. Interior & 800 Sq.Ft. Terrace Area. """"Other"""" Is Terrace. Live At The Height Of Sophistication! **** EXTRAS **** A Breathtaking Experience! This Magnificent Grand Penthouse Comprises The Entire Top Floor Of The 5 Star Forest Hill Landmark Building. Sweeping Panoramic 360 Degree Vista Views Across The Tree-Tops & Down To The Lake. Commanding North & So  "
"26","C3185841.pdf","Magnificent Lawrence Park Home Built In 2007 * Approx 6,150 Sf + 3,450 Sf Ll * Architect: Richard Wengle * Custom Interiors * Inground Pool With Fountain, Waterfall & Hot Tub * Stone Terrace With Bbq * Amzaing Detail Thruout * Custom """"Cooks"""" Kitchen - Lacanche Range * 2 Gas Furnaces, 2 Central Air * Amazing Lower Level With Walk-Out To Pool. **** EXTRAS **** Lancanche Range+Eqp,4 Subzero Freezer Drawers,2 Subzero Fridges,Bosch B/I D/W,Samsung W&D,Air Clnr,Sound Sys+Eqp,Cvac,Alarm Sys,Halogen Ltg,Pool W/Fountain,Waterfall+Rel Eqp,Hot Tub+Eqp,Outdr F/P,Stacked W+D,2Cac,2Fag(Nov/14),Curtain Rods.  "
"27","C3211401.pdf","Resplendent Home In The Heart Of Forest Hill. Formal Entertaining May Be Enjoyed In Living & Dining Rooms Enhanced By Leaded Glass Pane Casement Bay Windows. Breakfast Area With French Doors Opening To Terrace Offers Venue For More Casual Gatherings & Al Fresco Dining. Richly Paneled Study W/ Wood-Burning Fireplace & Custom Built-In Book Shelves Creates Ambiance For Quiet Reflection. Master Graced With Spacious Dressing Room & Lavish Ensuite. **** EXTRAS **** 3rd Level Loft & 5th Bdrm. Lower Billiards Rm W/ Wet Bar, Ent Rm & Wine Cellar. Plenty Of Storage Space. Pretty Gardens Surround The Plunge/Exercise Pool, Lush Landscaping & Mature Trees Create Magical Oasis In Heart Of City.  "
"28","C3214787.pdf","Truly One Of A Kind Assembly Of Ph Units In A Century Old Building On A Coveted Stretch Of Wellington In King West. Approx 5300Sf Of Interior Space On Two Levels + 2400 Sf Of Wrap Around Terrace With East, South And West Views. Very Rare Opportunity To Build To Suit. **** EXTRAS **** Loads Of Character, Heritage Brick, Douglas Fir Beams And Ceilings. Direct Elevator Access, 3 Parking Spots, 3 Lockers.  "
"29","C3618078.pdf","Perched on a ridge-top high above the word-class golf resort of SilverTip, this 7,880 sqft, 4 bedroom + den, 8 bath, timber-frame masterpiece is impressive in every measurable way. Highlighting its pride-of-place, stunning views of rugged peaks are visible at every turn, through massive windows & awe-inspiring vaults. Clad in stone, copper & locally sourced wood. The finest finishes from the likes of Viking, Kohler & Hansgrohe. Richly prepared surfaces in Pennsylvania bluestone, hand-planed walnut, natural rundlestone & cherrywood. Each level of the home suits a different purpose, thoughtfully executed to make the most of its environment. A master level, quietly set above all & master bath comparable to a private luxury spa; family level, games & media room, gym, resistance pool, steamroom & more. With so many features, this narrative should only serve to whet the appetite of the reader & can be expanded upon with a first-hand visit by only the most discerning & well-qualified buyers.  "
"30","C3645887.pdf","With unobstructed views of the lake and Rocky Mountains, this enchanting 13,000 sq.ft home boasts exquisite design and craftsmanship throughout. Upon entering the 117 acre gated property, one will first notice the tranquil outdoors with balconies, terraces, tennis court, lush gardens, playground, picturesque landscaping and pond showcasing the waterfall and bridge that leads to the private island with covered sitting area. The traditional elegance of this stunning castle-like home features 5 spacious bedrooms, 9 baths, a gourmet kitchen with state-of-the-art appliances including Wolf range and Sub-Zero refrigerator, a formal dining room, six fireplaces, marble flooring, a nanny wing, two-storey library with floor-to-ceiling architectural windows and signature spiral staircase, an 18 seat movie theater and indoor pool & hot tub with glass roof. A true private oasis just a short drive from Calgary. With no detail overlooked, this impressive property must be seen to experience what it has to offer.  "
"31","C3652931.pdf","Welcome to prestigious Elbow Park & experience this incomparable bungalow. This custom built energy efficient home by McKinley Master Custom Homes boasts over 6900 sqft of luxury living & is handicap accessible. This fully developed walkout borders the Elbow River providing unparalleled outdoor living & stunning views. The grand entry is complimented with barreled ceilings and in-lay floors. The main floor offers an open floor plan with extensive custom mill work featuring a Master suite with an impressive walk-in dressing room & 7 piece ensuite as well as formal dining room ideal for entertaining & a large, sunny breakfast nook. The lower level showcases a media area, poker room, wet bar, exercise area & 3 more bedrooms complete with ensuites, The massive 4-car garage will easily accommodate lifts and has elevator access. The yard is professionally landscaped with multiple patio areas & expansive decks with fireplaces to enjoy evenings by the river.  "
"32","C3653337.pdf","Welcome to this magnificent home in the prestigious community of Pumphill. This gated masterpiece is nestled on a private 1.68 acres and has over 11,000 sqft of the finest living quarters all perfectly designed to offer the best views of the city skyline. Located minutes from downtown and close to the most esteemed private schools, your dream home awaits. Follow the 250 foot driveway, past the professionally landscaped gardens to the oversized three carport heated garage. The vaulted ceilings with open skylights and white marble flooring lead you through the open floor plan and will amaze you in every room. The upgraded, corian finished kitchen is fully equipped to meet every need. With 6 bedrooms and 8 bathrooms featuring a nanny living quarters, a penthouse with full panoramic views in all directions and a 1300 square foot master suite complete with a grand wood fireplace, wet bar and a six piece bathroom ensemble make this an exquisite and remarkable find.  "
"33","C4000662.pdf","Located within the city, this magnificent gated estate sits on a 2 acre parcel on the crest of Anatapi Lane, offering both privacy and views of the valley and mountains. No expense has been spared on the construction and finishing. A full stone exterior, triple glazed windows + superior insulation make it amazingly efficient to operate. All the rooms are spacious and beautifully proportioned, with opportunities for casual family living and grand entertaining. Beautiful kitchen blends rustic elegance with modern convenience. Private master suite with sitting room, spa inspired bathroom and spacious dressing room. A few of the inclusions; media system, lighting system, security system (incl cameras), club quality indoor pool, steam room, full bar, tennis court, huge garage designed for multiple lifts (1 included) and professional landscaping that blends in with the indigenous Aspen forest setting. A rare opportunity to have country living in the city...walking distance to Aspen Landing shops and services.  "
"34","C4000958.pdf","Welcome to one of the largest South backing lots on Britannia Drive, with excellent CITY VIEWS and a PRIVATE TREED LOT! This spacious, contemporary 2 Storey home offers over 5,500 sqft of Living Space, with over 4,000 sqft above grade, designed for PRIVACY while still capturing the City Skyline from many rooms. SERENITY in your PARK-LIKE YARD - surrounded by mature trees, you will enjoy the outdoor living spaces: outdoor Dining & BBQ separate from the outside Living Room with gas Fireplace and courtyard; patio heated to access the hottub in the winter. Triple Attached Garage is infloor heated, as is the drive. Lots of room for Lifts if desired! Many interior design details that make daily living functional, great layout for entertaining. 3 bedrooms + Bonus Room up, with observation deck off Bonus Room. Still time to make some selections!! Photos are from a similar project, not exactly as shown.  "
"35","C4001601.pdf","Stunning Contemporary Home by Insignia Developments and Paul Lavoie Interior Design on the last remaining south west corner lot on Britannia Drive. Home price includes art by Michelle Hoogveld, Stephanie Hoogveld and Daniel Culcea. On June 18, 2015 from 5-9 this home will be open for viewing.  Open House June  5:00 PM To 9:00 PM  18 THURSDAY  "
"36","C4006332.pdf","Bold in stature, staring out across the Heritage Pointe Golf course, none assuming from the street positioned at the end of a fingerlet from the cul-de-sac, this custom post and beam home floods its open space design through 14 skylights and massive windows. Visitors are awed by two large granite islands squaring off against each other, serving a nook, casual dining or outdoor kitchen, on one of three decks. All five bedrooms are ensuited, two with their own private entrances, one with its own spiral staircase, library room & fireplace and the stately master with island fireplace, private den and sitting area. A large flared staircase opens to the lower receiving area providing guests a choice to the multi tiered theatre or party room with large elbow bar and dance floor, the saloon room, as it has become known, still reverberates with country music. On a quieter note slip inside the wine room and select your favorite glass to be enjoyed in the sipping area. Entertainment is not an option. Spectacular private setting situated at Heritage Pointe Golf Course. This home and property is truly one of a kind.  "
"37","C4006818.pdf","Attention Developers with a vision to take this unique parcel w/ unlimited potential & create a rural development that allows this beautiful property to be enjoyed & utilized to its full potential, under 1hr from Calgary! Set in the heart of some of the most scenic countryside in Alberta, this Land package includes 320Acres Deeded Land,2 Grazing Leases offering 3762 Acres & additional income from 8 Surface leases. This 1/2 section of Deeded land is one of few Direct Control Zoning parcels left in MVC, allowing variety of options: owner has plans for Housing Development w/ Golf course,RV park,Recreational Community w/ direct access to grazing lease land, Little RedDeer River flows along South boundary,gently rolling landscape w/ open pastures, old forested areas, natural springs, this land package has it all! Sharing this beautiful land is a fully serviced site w/ 5 Bdrm newly renovated Home,2 Barns,Storage Building & wood cabin. Option to purchase additional adjoining Grazing & Deeded land MLS# C40068  "
"38","C4012236.pdf","THE ULTIMATE RETREAT!! Located 30 minutes West of Downtown Calgary lies a Spectacular Mountain View, forested retreat with a 3500 sq. ft. Heritage Log Home on 320 ACRES or Pristine Foothills Landscape. This magnificent ranch has been in the same family for more than 60 years. The ranch and its many trails include hunting, hiking the mountain ridges, cross country skiing, mountain biking, horseback riding, skating, wildlife and landscape photography and nearby trout fishing in the Elbow River. The white cedar log home features a chefs kitchen, family room with fireplace, spacious dining room, great room with floor to ceiling Waterton river rock fireplace, 3 bedrooms to sleep 10, 3 minutes to Bragg Creek for its many restaurants. No 2013 floods.  "
"39","C4014364.pdf","This magnificent home is set on 2 acres with beautiful mountain views in the award winning Springbank community of Morgans Rise. Al McDowell of McDowell & associates personally designed this ""Mountain Vernacular"" masterpiece that includes extensive timber framing And frontier sandstone masonry throughout. The All Star interior design teams spared no expense when creating over 8075 SQ. FT. of beautifully designed living & entertaining space. The Custom designed millwork in this house is truly breathtaking and was crafted onsite over 8 months by team of master millworkers. For ease of living & peace of mind for the home owner and family, All media, lighting, security cameras, HVAC etc; is controlled by a fully integrated AMX Smart Home touch panels that can be securely accessed from anywhere in the world. Vacation mode that memorizes and relays living patterns as well wake up mode, are features that must be seen. This has to be viewed to appreciate the attention to details and craftsmanship. $50,000 ALLOWED FOR LANDSCAPE  "
"40","E3313697.pdf","Taking unique to a whole new level there are not enough words to describe this property. While zoned residential, this property has an income of over 300 thou per year. There are five houses all currently rented out, 4 bay shop, office building, 5 to 7 man oil camp, RV parking, fresh water pond, massive sewage lagoon, Centrally located in Red Earth Creek close to local airfield. In the heart of oil country with loads of potential. 71 acres in total to use your imagination and increase your income.  Legal Description Plan :- 8822614 Block :- 1 Lot :- 0  "
"41","E3391551.pdf","80 acre parcel on Nisku Road and Range Rd. 244. 2600 sq.ft bungalow built in 2008 with 3 large bedrooms, family room and open kitchen, nook and living room with extra high ceilings! Granite countertops, top quality cherry wood cabinets and stainless steel appliances. Full height stacked limestone wall with gas fireplace. The large shop has a mezzanine with offices. The mobile home is about 15 years old and 1000 sq.ft. and is currently rented. City water to both homes and a tank and field septic system for each. Approx. 40 acres rented and seeded in canola.  Legal Description Plan :- 0 Block :- 0 Lot :- 0  "
"42","F1418810.pdf","5 acres designated Row 15 (townhouse) in Redwood Heights NCP 4. Stage 1 of NCP approved and stage 2 underway with approval expected in Summer 2015. Must be sold in conjunction with 18333 24th Ave (MLS F1418808) and 2514 180th Street (MLS F1418678) for a total of 35.08 continuous acres.  "
"43","F1422736.pdf","Exquisite gated equestrian facility set on 39.5 acres. The property consists of coach house above 4 bay garage, 10 stall barn, 100x185 ft. indoor riding arena, 3 bay equipment shop w/office suite & recreation area adjoin the barn by porte cochere brimming with amenities & custom details, all completed in late 2012. Multiple lush pastures & 1 mile of dry, scenic trails. Manufactured home on the property as well (2011). Spectacular view site at the crest of the property to build your custom home. An ideal opportunity w/state-of-the-art facilities for your equine business or covet entirely for yourselves! Convenient to Hwy1. Abbotsford Airport & Canada/USA Border. Approx. 60 min to downtown Vancouver.  "
